Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,2020-01-01 00:00:00,Northeast,New York,New York,Men's Street Footwear,50,1200,600000,300000,0.5,In-store
Foot Locker,1185732,2020-01-02 00:00:00,Northeast,New York,New York,Men's Athletic Footwear,50,1000,500000,150000,0.3,In-store
Foot Locker,1185732,2020-01-03 00:00:00,Northeast,New York,New York,Women's Street Footwear,40,1000,400000,140000,0.35,In-store
Foot Locker,1185732,2020-01-04 00:00:00,Northeast,New York,New York,Women's Athletic Footwear,45,850,382500,133875,0.35,In-store
Foot Locker,1185732,2020-01-05 00:00:00,Northeast,New York,New York,Men's Apparel,60,1970-01-01 03:00:00.900000,540000,162000,0.3,In-store
Foot Locker,1185732,43836,Northeast,New York,New York,Women's Apparel,50,1000,1970-01-01 03:08:20,125000,0.25,In-store
Foot Locker,1185732,43837,Northeast,New York,New York,Men's Street Footwear,50,1250,625000,1970-01-01 03:05:12.500000,0.5,In-store
Foot Locker,1185732,43838,Northeast,New York,New York,Men's Athletic Footwear,50,900,450000,135000,1970-01-01 03:00:00,Outlet
Foot Locker,1185732,2020-01-21 00:00:00,Northeast,New York,New York,Women's Street Footwear,40,950,380000,133000,0.35,Outlet
Foot Locker,1185732,2020-01-22 00:00:00,Northeast,New York,New York,Women's Athletic Footwear,45,825,371250,129937.49999999999,0.35,Outlet
Foot Locker,1185732,2020-01-23 00:00:00,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,0.3,Outlet
Foot Locker,1970-01-01 03:19:45.732000,2020-01-24 00:00:00,Northeast,New York,New York,Women's Apparel,50,1000,500000,125000,0.25,Outlet
Foot Locker,1185732,2020-01-25 00:00:00,Northeast,New York,New York,Men's Street Footwear,50,1220,610000,305000,0.5,Outlet
Foot Locker,1185732,43856,Northeast,New York,New York,Men's Athletic Footwear,50,925,462500,138750,0.3,Outlet
Foot Locker,1185732,2020-01-27 00:00:00,Northeast,New York,New York,Women's Street Footwear,40,950,380000,133000,0.35,Outlet
Foot Locker,1185732,2020-01-28 00:00:00,Northeast,New York,New York,Women's Athletic Footwear,45,800,360000,125999.99999999999,0.35,Outlet
Foot Locker,1185732,2020-01-29 00:00:00,Northeast,New York,New York,Men's Apparel,60,850,510000,153000,0.3,Outlet
Foot Locker,1185732,43860,Northeast,New York,New York,Women's Apparel,1970-01-01 03:00:00.050000,950,475000,118750,0.25,Outlet
Foot Locker,1185732,43861,Northeast,New York,New York,Men's Street Footwear,50,1970-01-01 03:00:01.200000,600000,300000,0.5,Outlet
Foot Locker,1185732,43862,Northeast,New York,New York,Men's Athletic Footwear,50,900,1970-01-01 03:07:30,135000,0.3,Outlet
Foot Locker,1185732,43863,Northeast,New York,New York,Women's Street Footwear,40,900,360000,1970-01-01 03:02:05.999000,0.35,Outlet
Foot Locker,1185732,43864,Northeast,New York,New York,Women's Athletic Footwear,45,825,371250,129937.49999999999,1970-01-01 03:00:00,Outlet
Foot Locker,1185732,2020-02-04 00:00:00,Northeast,New York,New York,Men's Apparel,60,825,495000,148500,0.3,Outlet
Foot Locker,1185732,2020-02-05 00:00:00,Northeast,New York,New York,Women's Apparel,50,950,475000,118750,0.25,Outlet
Foot Locker,1185732,2020-02-06 00:00:00,Northeast,New York,New York,Men's Street Footwear,60,1220,732000,366000,0.5,Outlet
Foot Locker,1970-01-01 03:19:45.732000,2020-02-07 00:00:00,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,925,508750.00000000006,152625,0.3,Outlet
Foot Locker,1185732,2020-02-08 00:00:00,Northeast,New York,New York,Women's Street Footwear,50,900,450000,157500,0.35,Outlet
Foot Locker,1185732,43870,Northeast,New York,New York,Women's Athletic Footwear,50,850,425000,148750,0.35,Outlet
Foot Locker,1185732,2020-02-10 00:00:00,Northeast,New York,New York,Men's Apparel,60,875,525000,157500,0.3,Outlet
Foot Locker,1185732,2020-03-03 00:00:00,Northeast,New York,New York,Women's Apparel,65,1000,650000,162500,0.25,Outlet
Foot Locker,1185732,2020-03-04 00:00:00,Northeast,New York,New York,Men's Street Footwear,60,1250,750000,375000,0.5,Outlet
Foot Locker,1185732,43895,Northeast,New York,New York,Men's Athletic Footwear,1970-01-01 03:00:00.055000,1000,550000.0000000001,165000.00000000003,0.3,Outlet
Foot Locker,1185732,43896,Northeast,New York,New York,Women's Street Footwear,50,1970-01-01 03:00:00.925000,462500,161875,0.35,Outlet
Foot Locker,1185732,43897,Northeast,New York,New York,Women's Athletic Footwear,50,900,1970-01-01 03:07:30,157500,0.35,Outlet
Foot Locker,1185732,43898,Northeast,New York,New York,Men's Apparel,60,900,540000,1970-01-01 03:02:42,0.3,Outlet
Foot Locker,1185732,43899,Northeast,New York,New York,Women's Apparel,65,1050,682500,170625,1970-01-01 03:00:00,Outlet
Foot Locker,1185732,2020-03-10 00:00:00,Northeast,New York,New York,Men's Street Footwear,60,1275,765000,382500,0.5,Outlet
Foot Locker,1185732,2020-03-11 00:00:00,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,1025,563750.0000000001,169125.00000000003,0.3,Outlet
Foot Locker,1185732,2020-03-12 00:00:00,Northeast,New York,New York,Women's Street Footwear,50,950,475000,166250,0.35,Outlet
Foot Locker,1970-01-01 03:19:45.732000,2020-03-13 00:00:00,Northeast,New York,New York,Women's Athletic Footwear,50,900,450000,157500,0.35,Outlet
Foot Locker,1185732,2020-03-14 00:00:00,Northeast,New York,New York,Men's Apparel,60,925,555000,166500,0.3,Outlet
Foot Locker,1185732,43905,Northeast,New York,New York,Women's Apparel,65,1100,715000,178750,0.25,Outlet
Foot Locker,1185732,2020-03-16 00:00:00,Northeast,New York,New York,Men's Street Footwear,60,1250,750000,375000,0.5,Outlet
Foot Locker,1185732,2020-03-17 00:00:00,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,1025,563750.0000000001,169125.00000000003,0.3,Outlet
Foot Locker,1185732,2020-03-18 00:00:00,Northeast,New York,New York,Women's Street Footwear,50,950,475000,166250,0.35,Outlet
Foot Locker,1185732,43921,Northeast,New York,New York,Women's Athletic Footwear,1970-01-01 03:00:00.050000,925,462500,161875,0.35,Outlet
Walmart,1185732,43938,Northeast,New York,New York,Men's Apparel,60,1970-01-01 03:00:00.900000,540000,162000,0.3,Outlet
Walmart,1185732,43939,Northeast,New York,New York,Women's Apparel,65,1075,1970-01-01 03:11:38.750000,174687.5,0.25,Outlet
Walmart,1185732,43940,Northeast,New York,New York,Men's Street Footwear,60,1200,720000,1970-01-01 03:06:00,0.5,Outlet
Walmart,1185732,43941,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,1000,550000.0000000001,165000.00000000003,1970-01-01 03:00:00,Outlet
Walmart,1185732,2020-04-21 00:00:00,Northeast,New York,New York,Women's Street Footwear,50,925,462500,161875,0.35,Outlet
Walmart,1185732,2020-04-22 00:00:00,Northeast,New York,New York,Women's Athletic Footwear,50,900,450000,157500,0.35,Outlet
Walmart,1185732,2020-04-23 00:00:00,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,0.3,Outlet
Walmart,1970-01-01 03:19:45.732000,2020-04-24 00:00:00,Northeast,New York,New York,Women's Apparel,65,1000,650000,162500,0.25,Outlet
Walmart,1185732,2020-04-25 00:00:00,Northeast,New York,New York,Men's Apparel,65,875,568750,170625,0.3,Outlet
Walmart,1185732,43947,Northeast,New York,New York,Women's Apparel,70,1000,700000,175000,0.25,Outlet
Walmart,1185732,2020-04-27 00:00:00,Northeast,New York,New York,Men's Street Footwear,65,1150,747500,373750,0.5,Outlet
Walmart,1185732,2020-04-28 00:00:00,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,975,536250.0000000001,160875.00000000003,0.3,Outlet
Walmart,1185732,2020-04-29 00:00:00,Northeast,New York,New York,Women's Street Footwear,55.00000000000001,920,506000.00000000006,177100,0.35,Outlet
Walmart,1185732,43951,Northeast,New York,New York,Women's Athletic Footwear,1970-01-01 03:00:00.055000,900,495000.00000000006,173250,0.35,Outlet
